profile,skills
data_scientist,"elasticsearch, python, javascript, scikit-learn, tableau, time_series, opencv, matplotlib, sentence_transformers, nodejs, sql, flask, bayesian_inference, tensorflow, mongodb, angular, pandas, plotly, docker, r, spacy, numpy, kafka, hadoop, statistics, java, nltk, git"
data_scientist,"python, jupyter, linux, java, tensorflow, github, flask"
data_scientist,"sql, python, tableau, r, time_series, csharp, yolo, airflow"
data_scientist,"python, scikit-learn, matplotlib, tableau, r, statistics, excel"
data_scientist,"scikit-learn, tensorflow, python, linux, gcp, spacy, matplotlib, seaborn, pandas, sql, numpy, keras, java, cpp"
data_scientist,"scikit-learn, python, sql, tensorflow, pandas, numpy, nltk"
data_scientist,"python, spark, scikit-learn, opencv, hadoop, matplotlib, aws, r"
data_scientist,"elasticsearch, python, javascript, scikit-learn, tableau, time_series, opencv, matplotlib, sentence_transformers, nodejs, sql, flask, bayesian_inference, tensorflow, mongodb, angular, pandas, plotly, docker, r, spacy, numpy, kafka, hadoop, statistics, java, nltk, git"
data_scientist,"python, jupyter, linux, java, tensorflow, github, flask"
data_scientist,"sql, python, tableau, r, time_series, csharp, yolo, airflow"
data_scientist,"python, scikit-learn, matplotlib, tableau, r, statistics, excel"
data_scientist,"scikit-learn, tensorflow, python, linux, gcp, spacy, matplotlib, seaborn, pandas, sql, numpy, keras, java, cpp"
data_scientist,"scikit-learn, python, sql, tensorflow, pandas, numpy, nltk"
data_scientist,"python, spark, scikit-learn, opencv, hadoop, matplotlib, aws, r"
data_scientist,"elasticsearch, python, javascript, scikit-learn, tableau, time_series, opencv, matplotlib, sentence_transformers, nodejs, sql, flask, bayesian_inference, tensorflow, mongodb, angular, pandas, plotly, docker, r, spacy, numpy, kafka, hadoop, statistics, java, nltk, git"
data_scientist,"python, jupyter, linux, java, tensorflow, github, flask"
data_scientist,"sql, python, tableau, r, time_series, csharp, yolo, airflow"
data_scientist,"python, scikit-learn, matplotlib, tableau, r, statistics, excel"
data_scientist,"scikit-learn, tensorflow, python, linux, gcp, spacy, matplotlib, seaborn, pandas, sql, numpy, keras, java, cpp"
data_scientist,"scikit-learn, python, sql, tensorflow, pandas, numpy, nltk"
data_scientist,"python, spark, scikit-learn, opencv, hadoop, matplotlib, aws, r"
data_scientist,"elasticsearch, python, javascript, scikit-learn, tableau, time_series, opencv, matplotlib, sentence_transformers, nodejs, sql, flask, bayesian_inference, tensorflow, mongodb, angular, pandas, plotly, docker, r, spacy, numpy, kafka, hadoop, statistics, java, nltk, git"
data_scientist,"python, jupyter, linux, java, tensorflow, github, flask"
data_scientist,"sql, python, tableau, r, time_series, csharp, yolo, airflow"
data_scientist,"python, scikit-learn, matplotlib, tableau, r, statistics, excel"
data_scientist,"scikit-learn, tensorflow, python, linux, gcp, spacy, matplotlib, seaborn, pandas, sql, numpy, keras, java, cpp"
data_scientist,"scikit-learn, python, sql, tensorflow, pandas, numpy, nltk"
data_scientist,"python, spark, scikit-learn, opencv, hadoop, matplotlib, aws, r"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"javascript, git, java, cpp"
data_scientist,"java, angular, postgresql, linux, sql, cpp"
data_scientist,"sql, java, javascript, cpp"
data_scientist,"java, sql, ci_cd, bash"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, javascript, sql, mongodb"
data_scientist,"java, javascript, sql, angular"
data_scientist,"java, angular, postgresql, linux, sql, cpp"
data_scientist,"sql, java, javascript, cpp"
data_scientist,"java, sql, ci_cd, bash"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, javascript, sql, mongodb"
data_scientist,"java, javascript, sql, angular"
data_scientist,"java, angular, postgresql, linux, sql, cpp"
data_scientist,"sql, java, javascript, cpp"
data_scientist,"java, sql, ci_cd, bash"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, javascript, sql, mongodb"
data_scientist,"java, javascript, sql, angular"
data_scientist,"java, angular, postgresql, linux, sql, cpp"
data_scientist,"sql, java, javascript, cpp"
data_scientist,"java, sql, ci_cd, bash"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, javascript, sql, mongodb"
data_scientist,"java, javascript, sql, angular"
data_scientist,"java, angular, postgresql, linux, sql, cpp"
data_scientist,"sql, java, javascript, cpp"
data_scientist,"java, sql, ci_cd, bash"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, javascript, sql, mongodb"
data_scientist,"java, javascript, sql, angular"
data_scientist,"java, angular, postgresql, linux, sql, cpp"
data_scientist,"sql, java, javascript, cpp"
data_scientist,"java, sql, ci_cd, bash"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, sql, javascript, angular, linux"
data_scientist,"java, javascript, sql, mongodb"
data_scientist,"java, javascript, sql, angular"
data_analyst,"linux, excel, java, csharp, javascript, cpp"
data_analyst,"git, excel, sql"
data_analyst,"linux, excel, java, csharp, javascript, cpp"
data_analyst,"git, excel, sql"
data_analyst,"linux, excel, java, csharp, javascript, cpp"
data_analyst,"git, excel, sql"
data_analyst,"linux, excel, java, csharp, javascript, cpp"
data_analyst,"git, excel, sql"
data_analyst,"linux, excel, java, csharp, javascript, cpp"
data_analyst,"git, excel, sql"
data_analyst,"linux, excel, java, csharp, javascript, cpp"
data_analyst,"git, excel, sql"
data_scientist,"java, snowflake, sql, python, airflow"
data_scientist,"java, snowflake, sql, python, airflow"
data_scientist,"java, snowflake, sql, python, airflow"
data_scientist,"java, snowflake, sql, python, airflow"
data_scientist,"java, ci_cd, sql, scikit-learn, git, javascript, fastapi, excel, cpp"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"java, ci_cd, sql, scikit-learn, git, javascript, fastapi, excel, cpp"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"sql, git, bash, python, linux, cpp, javascript"
data_scientist,"r, transformers, statistics"
data_scientist,"r, transformers, statistics"
data_scientist,"r, transformers, statistics"
data_scientist,"r, transformers, statistics"
data_scientist,"r, transformers, statistics"
data_scientist,"r, transformers, statistics"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
data_scientist,"python, java, sql, mongodb, git, postgresql, angular, fastapi, django, typescript"
data_scientist,"python, tensorflow, linux, sql, numpy, cpp"
data_scientist,"git, python, django, fastapi, github, sql, mongodb, sqlite, linux"
data_scientist,"opencv, python, numpy, pillow, git"
data_scientist,"python, excel, java, django, pandas, sql, numpy"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"sql, csharp, javascript, aws, java, scikit-learn, nodejs, bash, azure, cpp, angular, tableau, github, docker"
mlops_engineer,"git, nodejs, python, sql, docker"
mlops_engineer,"git, javascript, aws, sql, angular, python, java, nodejs, docker"
mlops_engineer,"ci_cd, time_series, docker, sql"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
mlops_engineer,"sql, docker, javascript, python, linux, java, aws"
mlops_engineer,"ci_cd, bash, docker, git, linux, java"
mlops_engineer,"bash, linux, sql, aws, docker, huggingface, elasticsearch, azure"
